TABLE UD- Livello 1 ;Liv 2;Liv 3;Liv 4;Liv 5;Liv 6;Liv 7;Liv 8;Liv 9;Liv 10;Columns;FK Name;R Table
ARO_UNITA_DOC;ARO_ARCHIV_SEC;;;;;;;;;ID_UNITA_DOC;FK_ARC_SEC_UNI_DOC;ARO_UNITA_DOC
;ARO_COMP_DOC;;;;;;;;;ID_UNITA_DOC_RIF;FK_COMP_DOC_UNI_DOC;ARO_UNITA_DOC
;;VOL_APPART_COMP_VOLUME;;;;;;;;ID_COMP_DOC;FK_APP_COMP_VOL_COMP_DOC;ARO_COMP_DOC
;;;VOL_APPART_FIRMA_VOLUME;;;;;;;ID_APPART_COMP_VOLUME;FK_APP_FIR_VOL_APP_FIL_VOL;VOL_APPART_COMP_VOLUME
;;;;VOL_VERIF_FIRMA_VOLUME;;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;ARO_BUSTA_CRITTOG;;;;;;;;ID_COMP_DOC;FK_BUSTA_CRIT_COMP_DOC;ARO_COMP_DOC
;;;ARO_FIRMA_COMP;;;;;;;ID_BUSTA_CRITTOG;FK_FIR_COMP_BUSTA_CRIT;ARO_BUSTA_CRITTOG
;;;;VOL_APPART_FIRMA_VOLUME;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;VOL_VERIF_FIRMA_VOLUME;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;ARO_CONTR_FIRMA_COMP;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;;ARO_MARCA_COMP;;;;;;;ID_BUSTA_CRITTOG;FK_MRK_COMP_BUSTA_CRIT;ARO_BUSTA_CRITTOG
;;;;ARO_CONTR_MARCA_COMP;;;;;;ID_MARCA_COMP;FK_CTR_MRK_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;;ARO_USO_CERTIF_CA_CONTR_MARCA;;;;;ID_CONTR_MARCA_COMP;FK_CA_CTR_MRK_CTR_MRK_COMP;ARO_CONTR_MARCA_COMP
;;;;ARO_FIRMA_COMP;;;;;;ID_MARCA_COMP;FK_FIR_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;;VOL_APPART_FIRMA_VOLUME;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;;VOL_VERIF_FIRMA_VOLUME;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;;ARO_CONTROFIRMA_FIRMA;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;;ARO_CONTROFIRMA_FIRMA;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;;ARO_CONTR_FIRMA_COMP;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;;ARO_VERIF_FIRMA_DT_VERS;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;ARO_COMP_DOC;;;;;;;;ID_COMP_DOC_PADRE;FK_COMP_DOC_COMP_PADRE;ARO_COMP_DOC
;;ARO_COMP_HASH_CALC;;;;;;;;ID_COMP_DOC;FK_COMP_HASH_CALC_COMP_DOC;ARO_COMP_DOC
;;ARO_COMP_INDICE_AIP_DA_ELAB;;;;;;;;ID_COMP_DOC;FK_COMP_IX_AIP_DA_ELAB_COMP;ARO_COMP_DOC
;;ARO_COMP_OBJECT_STORAGE;;;;;;;;ID_COMP_DOC;FK_COMP_OBJ_STO_COMP_DOC;ARO_COMP_DOC
;;ARO_COMP_URN_CALC;;;;;;;;ID_COMP_DOC;FK_COMP_URN_CALC_COMP_DOC;ARO_COMP_DOC
;;ARO_COMP_VER_INDICE_AIP_UD;;;;;;;;ID_COMP_DOC;FK_COMP_VER_IX_AIP_UD_COMP;ARO_COMP_DOC
;;ARO_FIRMA_COMP;;;;;;;;ID_COMP_DOC;FK_FIR_COMP_COMP_DOC;ARO_COMP_DOC
;;;VOL_APPART_FIRMA_VOLUME;;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;VOL_VERIF_FIRMA_VOLUME;;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;ARO_CONTROFIRMA_FIRMA;;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;ARO_CONTROFIRMA_FIRMA;;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;ARO_CONTR_FIRMA_COMP;;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;FIR_REPORT;;;;;;;;ID_COMP_DOC;FK_FIRREPORT_COMP_DOC;ARO_COMP_DOC
;;;FIR_URN_REPORT;;;;;;;ID_REPORT;FK_URN_REPORT;FIR_REPORT
;;ARO_MARCA_COMP;;;;;;;;ID_COMP_DOC;FK_MRK_COMP_COMP_DOC;ARO_COMP_DOC
;;;ARO_CONTR_MARCA_COMP;;;;;;;ID_MARCA_COMP;FK_CTR_MRK_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;ARO_USO_CERTIF_CA_CONTR_MARCA;;;;;;ID_CONTR_MARCA_COMP;FK_CA_CTR_MRK_CTR_MRK_COMP;ARO_CONTR_MARCA_COMP
;;;ARO_FIRMA_COMP;;;;;;;ID_MARCA_COMP;FK_FIR_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;VOL_APPART_FIRMA_VOLUME;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;VOL_VERIF_FIRMA_VOLUME;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;ARO_CONTR_FIRMA_COMP;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;REC_SESSIONE_RECUP;;;;;;;;ID_COMP_DOC;FK_SES_REC_COMP_DOC;ARO_COMP_DOC
;;;REC_DT_VERS_RECUP;;;;;;;ID_SESSIONE_RECUP;FK_DT_VERS_REC_SES_REC;REC_SESSIONE_RECUP
;;;SEQ_UD_APPART_SEQUESTRO;;;;;;;ID_SESSIONE_RECUP;FK_UD_APP_SEQ_SES_REC;REC_SESSIONE_RECUP
;;ARO_UPD_COMP_UNITA_DOC;;;;;;;;ID_COMP_DOC;FK_UPD_COMP_UD_COMP;ARO_COMP_DOC
;;;ARO_UPD_DATI_SPEC_UNITA_DOC;;;;;;;ID_UPD_COMP_UNITA_DOC;FK_UPD_DATI_SPEC_UPD_COMP_UD;ARO_UPD_COMP_UNITA_DOC
;;ARO_USO_XSD_DATI_SPEC;;;;;;;;ID_COMP_DOC;FK_USO_XSD_DATI_SPEC_COMP_DOC;ARO_COMP_DOC
;;;ARO_VALORE_ATTRIB_DATI_SPEC;;;;;;;ID_USO_XSD_DATI_SPEC;FK_VL_DATI_SPEC_USO_XSD;ARO_USO_XSD_DATI_SPEC
;;ARO_VERS_INI_COMP;;;;;;;;ID_COMP_DOC;FK_VERS_INI_COMP;ARO_COMP_DOC
;ARO_DOC;;;;;;;;;ID_UNITA_DOC;FK_DOC_UNI_DOC;ARO_UNITA_DOC
;;VOL_APPART_DOC_VOLUME;;;;;;;;ID_DOC;FK_APP_DOC_VOL_DOC;ARO_DOC
;;;VOL_APPART_COMP_VOLUME;;;;;;;ID_APPART_DOC_VOLUME;FK_APP_COMP_VOL_APP_DOC_VOL;VOL_APPART_DOC_VOLUME
;;;;VOL_APPART_FIRMA_VOLUME;;;;;;ID_APPART_COMP_VOLUME;FK_APP_FIR_VOL_APP_FIL_VOL;VOL_APPART_COMP_VOLUME
;;;;;VOL_VERIF_FIRMA_VOLUME;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;ARO_WARN_UNITA_DOC;;;;;;;;ID_DOC;FK_ARO_WARN_DOC;ARO_DOC
;;ELV_DOC_AGG_DA_ELAB_ELENCO;;;;;;;;ID_DOC;FK_DOC_AGG_DAELB_ELE_DOC;ARO_DOC
;;TMP_ARO_DOC_ANNUL_DA_ELAB;;;;;;;;ID_DOC;FK_DOC_ANNUL_DA_ELAB_DOC;ARO_DOC
;;REC_SESSIONE_RECUP;;;;;;;;ID_DOC;FK_SES_REC_DOC;ARO_DOC
;;;REC_DT_VERS_RECUP;;;;;;;ID_SESSIONE_RECUP;FK_DT_VERS_REC_SES_REC;REC_SESSIONE_RECUP
;;;SEQ_UD_APPART_SEQUESTRO;;;;;;;ID_SESSIONE_RECUP;FK_UD_APP_SEQ_SES_REC;REC_SESSIONE_RECUP
;;VRS_SESSIONE_VERS;;;;;;;;ID_DOC;FK_SES_VRS_DOC;ARO_DOC
;;;VRS_DATI_SESSIONE_VERS;;;;;;;ID_SESSIONE_VERS;FK_DAT_SES_VRS_SES_VRS;VRS_SESSIONE_VERS
;;;;VRS_XML_DATI_SES_OBJECT_STORAGE;;;;;;ID_DATI_SESSIONE_VERS;FK_DAT_SES_VRS_XML_DATI_SES_OBJ_STO;VRS_DATI_SESSIONE_VERS
;;;;VRS_ERR_SESSIONE_VERS;;;;;;ID_DATI_SESSIONE_VERS;FK_ERR_SES_VRS_DAT_SES_VRS;VRS_DATI_SESSIONE_VERS
;;;;VRS_FILE_SESSIONE_DA_DROPPARE;;;;;;ID_DATI_SESSIONE_VERS;FK_FIL_SES_DAT_SES_VRS;VRS_DATI_SESSIONE_VERS
;;;;;VRS_FILE_SES_OBJECT_STORAGE;;;;;ID_FILE_SESSIONE;FK_SES_OBJ_STO_FILE_SES;VRS_FILE_SESSIONE_DA_DROPPARE
;;;;VRS_XML_MODELLO_SESSIONE_VERS;;;;;;ID_DATI_SESSIONE_VERS;FK_VRS_XML_DAT_SES_VRS;VRS_DATI_SESSIONE_VERS
;;;;VRS_XML_DATI_SESSIONE_VERS;;;;;;ID_DATI_SESSIONE_VERS;FK_XML_DAT_SES_VRS;VRS_DATI_SESSIONE_VERS
;;;;;VRS_URN_XML_SESSIONE_VERS;;;;;ID_XML_DATI_SESSIONE_VERS;FK_URN_XML_SES_VRS;VRS_XML_DATI_SESSIONE_VERS
;;;VRS_SESSIONE_VERS_SOSP_DA_DROPPARE;;;;;;;ID_SESSIONE_VERS;FK_SES_VRS_SOSP_SES_VRS;VRS_SESSIONE_VERS
;;VRS_SESSIONE_VERS_KO;;;;;;;;ID_DOC;FK_SES_VRS_DOC_KO;ARO_DOC
;;;VRS_DATI_SESSIONE_VERS_KO;;;;;;;ID_SESSIONE_VERS_KO;FK_SESSIONE_VERS_KO;VRS_SESSIONE_VERS_KO
;;;;VRS_XML_DATI_SES_OBJECT_STORAGE_KO;;;;;;ID_DATI_SESSIONE_VERS_KO;FK_DAT_SES_VRS_XML_DATI_SES_OBJ_STO_KO;VRS_DATI_SESSIONE_VERS_KO
;;;;VRS_FILE_SESSIONE_KO;;;;;;ID_DATI_SESSIONE_VERS_KO;FK_ID_DATI_SESSIONE_VERS_KO;VRS_DATI_SESSIONE_VERS_KO
;;;;;VRS_CONTENUTO_FILE_KO;;;;;ID_FILE_SESSIONE_KO;FK_CONTENUTO_FILE_VRS_KO;VRS_FILE_SESSIONE_KO
;;;;;VRS_FILE_SES_OBJECT_STORAGE_KO;;;;;ID_FILE_SESSIONE_KO;FK_FILE_OBJ_STO_VRS_KO;VRS_FILE_SESSIONE_KO
;;;;VRS_ERR_SESSIONE_VERS_KO;;;;;;ID_DATI_SESSIONE_VERS_KO;FK_VRS_ERR_SESSIONE_VERS_KO;VRS_DATI_SESSIONE_VERS_KO
;;;;VRS_XML_DATI_SESSIONE_VERS_KO;;;;;;ID_DATI_SESSIONE_VERS_KO;FK_VRS_XML_DATI_SESSIONE_VERS_KO;VRS_DATI_SESSIONE_VERS_KO
;;;;;VRS_URN_XML_SESSIONE_VERS_KO;;;;;ID_XML_DATI_SESSIONE_VERS_KO;FK_URN_XML_SES_VRS_KO;VRS_XML_DATI_SESSIONE_VERS_KO
;;ARO_STRUT_DOC;;;;;;;;ID_DOC;FK_STRUT_DOC_DOC;ARO_DOC
;;;ARO_COMP_DOC;;;;;;;ID_STRUT_DOC;FK_COMP_DOC_STRUT_DOC;ARO_STRUT_DOC
;;;;VOL_APPART_COMP_VOLUME;;;;;;ID_COMP_DOC;FK_APP_COMP_VOL_COMP_DOC;ARO_COMP_DOC
;;;;;VOL_APPART_FIRMA_VOLUME;;;;;ID_APPART_COMP_VOLUME;FK_APP_FIR_VOL_APP_FIL_VOL;VOL_APPART_COMP_VOLUME
;;;;;;VOL_VERIF_FIRMA_VOLUME;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;ARO_BUSTA_CRITTOG;;;;;;ID_COMP_DOC;FK_BUSTA_CRIT_COMP_DOC;ARO_COMP_DOC
;;;;;ARO_FIRMA_COMP;;;;;ID_BUSTA_CRITTOG;FK_FIR_COMP_BUSTA_CRIT;ARO_BUSTA_CRITTOG
;;;;;;VOL_APPART_FIRMA_VOLUME;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;;;VOL_VERIF_FIRMA_VOLUME;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;;;ARO_CONTROFIRMA_FIRMA;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;;;ARO_CONTROFIRMA_FIRMA;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;;;ARO_CONTR_FIRMA_COMP;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;;;ARO_VERIF_FIRMA_DT_VERS;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
